Winter,,,,Spring,,,,Summer,,,,Fall,,
Hour,Sa(kw/km^2),Sa(w/m^2),,Hour,Sa(w/km^2),Sa(w/m^2),,Hour,Sa(kw/km^2),Sa(w/m^2),,Hour,Sa(kw/km^2),Sa(w/km^2)
600,0.00302295,3.02294976,,400,8.00955E-07,0.800954776,,400,0.000788948,0.788948276,,600,0.002095227,2.095227308
700,0.03383668,33.83667985,,500,2.58654E-05,25.86537243,,500,0.025593578,25.59357814,,700,0.023068163,23.06816257
800,0.103376553,103.3765529,,600,9.97762E-05,99.77620374,,600,0.097255714,97.2557137,,800,0.072154233,72.15423309
900,0.220520314,220.5203136,,700,0.00022967,229.6702278,,700,0.220960687,220.9606871,,900,0.158679212,158.6792119
1000,0.308536534,308.5365338,,800,0.000357712,357.7121669,,800,0.34464753,344.6475299,,1000,0.229950765,229.9507654
1100,0.372454056,372.4540558,,900,0.000467297,467.2968581,,900,0.445345094,445.3450943,,1100,0.283428765,283.4287652
1200,0.384826417,384.8264172,,1000,0.000558986,558.9858312,,1000,0.527298674,527.2986742,,1200,0.305362478,305.3624777
1300,0.351735997,351.7359974,,1100,0.000626948,626.9480662,,1100,0.594950481,594.9504806,,1300,0.283070393,283.0703929
1400,0.288004578,288.0045782,,1200,0.000661713,661.7132611,,1200,0.621008295,621.0082953,,1400,0.225980934,225.9809341
1500,0.197339121,197.3391213,,1300,0.00061532,615.3204271,,1300,0.580899155,580.8991552,,1500,0.146832744,146.832744
1600,0.091462053,91.46205292,,1400,0.000530919,530.9191776,,1400,0.5082823,508.2823001,,1600,0.067205413,67.20541329
1700,0.03222248,32.22247991,,1500,0.000433812,433.8118893,,1500,0.421801862,421.8018617,,1700,0.022924632,22.92463198
1800,0.002500599,2.50059937,,1600,0.000333486,333.4859984,,1600,0.323121045,323.1210455,,1800,0.001664649,1.66464917
,,,,1700,0.00021541,215.4100634,,1700,0.208890917,208.890917,,,,
,,,,1800,9.0366E-05,90.36596634,,1800,0.087965886,87.96588567,,,,
,,,,1900,2.36349E-05,23.63493624,,1900,0.022954468,22.95446802,,,,
,,,,2000,6.95913E-07,0.695912506,,2000,0.000645429,0.645429262,,,,
